PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Coconuts,1.18,1.4,1.65
Grapes,2.63,16.2,42.61
Ginger,5.13,1.5,7.7
Grapefruit,0.76,39.7,30.17
Daikon,1.4,18.1,25.34
Corn,1.07,38.6,41.3
Daikon,1.4,29.9,41.86
Orange,1.09,0.9,0.98
Eggplant,2.32,39,90.48
Brussels sprouts,1.65,34,56.1
Ginger,5.13,4.6,23.6
Coconuts,1.18,10.9,12.86
Lettuce,1.88,16.7,31.4
Carrots,1.26,29.7,37.42
Orange,1.09,37.2,40.55
Parsnips,2.27,19.8,44.95
Yellow peppers,2.87,33.4,95.86
Avocados,3.23,40,129.2
Coconuts,1.18,5.1,6.02
Beets,1.51,6.1,9.21
Celery,1.19,0.5,0.6
Green beans,2.52,27.4,69.05
Butternut squash,1.28,24.8,31.74
Asparagus,2.49,21.4,53.29
Fava beans,2.69,14.7,39.54
Green cabbage,0.8,35.1,28.08
Apples,1.88,26.7,50.2
Lettuce,1.88,22.6,42.49
Bananas,0.86,29.2,25.11
Red onion,0.78,17.4,13.57
Parsnips,2.27,10.5,23.84
Carrots,1.26,12.7,16
Lemon,1.27,26.7,33.91
Parsnips,2.27,3.2,7.26
Ginger,5.13,16.8,86.18
Daikon,1.4,17.6,24.64
Butternut squash,1.28,30.5,39.04
Strawberries,4.4,23.4,102.96
Asparagus,2.49,16.6,41.33
Celery,1.19,29.6,35.22
Spinach,4.12,27.2,112.06
Green beans,2.52,24.3,61.24
Yellow peppers,2.87,37.4,107.34
Lettuce,1.88,25.1,47.19
Green beans,2.52,28.1,70.81
Asparagus,2.49,7.7,19.17
Apples,1.88,11.2,21.06
Eggplant,2.32,16,37.12
Potatoes,0.86,13.4,11.52
Fava beans,2.69,22.2,59.72
Watermelon,0.66,7.7,5.08
Butternut squash,1.28,8.5,10.88
Spinach,4.12,14.1,58.09
Yellow peppers,2.87,33.6,96.43
Green beans,2.52,22.4,56.45
Cucumber,1.07,30.4,32.53
Grapefruit,0.76,21.5,16.34
Orange,1.09,18.5,20.17
Lettuce,1.88,36.5,68.62
Eggplant,2.32,14.4,33.41
Eggplant,2.32,36.8,85.38
Apples,1.88,24.2,45.5
Tomatoes,3.16,0.6,1.9
Yellow peppers,2.87,9,25.83
Fava beans,2.69,21,56.49
Cucumber,1.07,25.2,26.96
Brussels sprouts,1.65,20.5,33.83
Kale,5.02,3.6,18.07
Red onion,0.78,11.2,8.74
Carrots,1.26,39.4,49.64
Tomatoes,3.16,22.1,69.84
Green beans,2.52,10.6,26.71
Green cabbage,0.8,14.9,11.92
Fava beans,2.69,10.1,27.17
Green beans,2.52,4.6,11.59
Parsnips,2.27,34.3,77.86
Orange,1.09,5.1,5.56
Coconuts,1.18,15.5,18.29
Papaya,1.34,7.3,9.78
Lime,1.06,33.5,35.51
Potatoes,0.86,23.4,20.12
Grapefruit,0.76,35,26.6
Yellow peppers,2.87,28.2,80.93
Apples,1.88,9.1,17.11
Red onion,0.78,39.6,30.89
Beets,1.51,1.2,1.81
Grapes,2.63,4,10.52
Beets,1.51,0.7,1.06
Strawberries,4.4,11,48.4
Strawberries,4.4,14.4,63.36
Eggplant,2.32,14.8,34.34
Yellow peppers,2.87,18.8,53.96
Yellow peppers,2.87,30.1,86.39
Daikon,1.4,6.3,8.82
Cucumber,1.07,3.3,3.53
Bananas,0.86,24,20.64
Butternut squash,1.28,4.8,6.14
Tomatoes,3.16,21.3,67.31
Bok choy,1.42,18.4,26.13
Papaya,1.34,30.2,40.47
Beets,1.51,29.9,45.15
Garlic,3.07,35.8,109.91
Avocados,3.23,21.2,68.48
Corn,1.07,1.3,1.39
Lettuce,1.88,31.9,59.97
Apricots,3.71,30.4,112.78
Butternut squash,1.28,13.4,17.15
Green peppers,1.89,27.7,52.35
Grapes,2.63,29.2,76.8
Bok choy,1.42,18.7,26.55
Orange,1.09,35.6,38.8
Papaya,1.34,23.2,31.09
Okra,2.26,22.5,50.85
Yellow peppers,2.87,4,11.48
Daikon,1.4,25.2,35.28
Papaya,1.34,10.7,14.34
Daikon,1.4,28.6,40.04
Brussels sprouts,1.65,32.8,54.12
Butternut squash,1.28,32.8,41.98
Watermelon,0.66,11.7,7.72
Carrots,1.26,1.4,1.76
Bananas,0.86,28.6,24.6
Yellow peppers,2.87,26,74.62
Orange,1.09,24.9,27.14
Celery,1.19,35.3,42.01
Apples,1.88,34.6,65.05
Potatoes,0.86,36.6,31.48
Garlic,3.07,21.5,66.01
Celery,1.19,32.6,38.79
Lime,1.06,6.6,7
Watermelon,0.66,7.3,4.82
Lemon,1.27,32.2,40.89
Ginger,5.13,2.3,11.8
Orange,1.09,11.1,12.1
Grapes,2.63,5.2,13.68
Daikon,1.4,37.6,52.64
Potatoes,0.86,36.4,31.3
Green cabbage,0.8,39.2,31.36
Carrots,1.26,35.1,44.23
Yellow peppers,2.87,7.8,22.39
Papaya,1.34,27.2,36.45
Yellow peppers,2.87,2.8,8.04
Fava beans,2.69,18.1,48.69
Kale,5.02,25.2,126.5
Fava beans,2.69,37.7,101.41
Tomatoes,3.16,2.2,6.95
Lemon,1.27,34.3,43.56
Fava beans,2.69,2.8,7.53
Corn,1.07,37.3,39.91
Ginger,5.13,39.5,202.64
Carrots,1.26,39.7,50.02
Beets,1.51,4.8,7.25
Carrots,1.26,16.5,20.79
Apples,1.88,25.3,47.56
Cherries,9.5,11.3,107.35
Lettuce,1.88,30.6,57.53
Eggplant,2.32,34.1,79.11
Lime,1.06,28.4,30.1
Strawberries,4.4,6.4,28.16
Daikon,1.4,25.8,36.12
Cherries,9.5,16,152
Ginger,5.13,27.7,142.1
Papaya,1.34,34.5,46.23
Corn,1.07,4.5,4.82
Carrots,1.26,17.7,22.3
Apricots,3.71,32.4,120.2
Yellow peppers,2.87,25.8,74.05
Orange,1.09,11.3,12.32
Daikon,1.4,28.3,39.62
Apricots,3.71,7.8,28.94
Potatoes,0.86,26.3,22.62
Spinach,4.12,31.4,129.37
Spinach,4.12,32,131.84
Eggplant,2.32,39,90.48
Avocados,3.23,2.1,6.78
Asparagus,2.49,17.6,43.82
Corn,1.07,12.9,13.8
Lime,1.06,10.4,11.02
Watermelon,0.66,3.4,2.24
Apples,1.88,23.5,44.18
Kale,5.02,29.7,149.09
Lemon,1.27,15.6,19.81
Celery,1.19,24.5,29.16
Cucumber,1.07,2,2.14
Fava beans,2.69,10.8,29.05
Spinach,4.12,39.1,161.09
Grapes,2.63,13.6,35.77
Yellow peppers,2.87,16.4,47.07
Strawberries,4.4,37,162.8
Cherries,9.5,35.1,333.45
Apples,1.88,35.9,67.49
Bok choy,1.42,24,34.08
Strawberries,4.4,32.7,143.88
Lime,1.06,37.3,39.54
Lettuce,1.88,23.5,44.18
Grapes,2.63,36.1,94.94
Butternut squash,1.28,1.7,2.18
Okra,2.26,1.9,4.29
Green peppers,1.89,32,60.48
Corn,1.07,31.1,33.28
Okra,2.26,4.5,10.17
Apricots,3.71,4,14.84
Parsnips,2.27,18.2,41.31
Daikon,1.4,19.1,26.74
Papaya,1.34,11.7,15.68
Okra,2.26,11.5,25.99
Lettuce,1.88,18.6,34.97
Yellow peppers,2.87,26.1,74.91
Green beans,2.52,37.2,93.74
Butternut squash,1.28,25.7,32.9
Cucumber,1.07,7.5,8.03
Lettuce,1.88,14.9,28.01
Apples,1.88,12.3,23.12
Okra,2.26,9,20.34
Asparagus,2.49,17.9,44.57
Beets,1.51,33.1,49.98
Garlic,3.07,33.8,103.77
Cucumber,1.07,37.8,40.45
Green cabbage,0.8,20,16
Apricots,3.71,39.3,145.8
Daikon,1.4,4.9,6.86
Daikon,1.4,14.9,20.86
Bananas,0.86,31.2,26.83
Apricots,3.71,35.7,132.45
Strawberries,4.4,25.5,112.2
Spinach,4.12,24.1,99.29
Carrots,1.26,1.7,2.14
Lemon,1.27,17.5,22.23
Green peppers,1.89,28.8,54.43
Eggplant,2.32,26.8,62.18
Avocados,3.23,5.5,17.77
Bananas,0.86,34.4,29.58
Avocados,3.23,24.7,79.78
Lime,1.06,14.3,15.16
Celery,1.19,28.4,33.8
Strawberries,4.4,9.5,41.8
Bok choy,1.42,32.2,45.72
Celery,1.19,23.7,28.2
Apples,1.88,25.6,48.13
Bok choy,1.42,6.8,9.66
Bananas,0.86,23,19.78
Lemon,1.27,17.1,21.72
Asparagus,2.49,14.8,36.85
Brussels sprouts,1.65,16.2,26.73
Bananas,0.86,27.9,23.99
Green cabbage,0.8,28.7,22.96
Green peppers,1.89,26.7,50.46
Butternut squash,1.28,36.4,46.59
Potatoes,0.86,10.3,8.86
Strawberries,4.4,17.4,76.56
Lemon,1.27,23.9,30.35
Celery,1.19,8.8,10.47
Spinach,4.12,11.4,46.97
Parsnips,2.27,5,11.35
Avocados,3.23,29.4,94.96
Brussels sprouts,1.65,10.9,17.99
Lime,1.06,20.7,21.94
Papaya,1.34,20.9,28.01
Coconuts,1.18,7.1,8.38
Spinach,4.12,25.1,103.41
Orange,1.09,32.8,35.75
Carrots,1.26,6.8,8.57
Lemon,1.27,13.4,17.02
Lime,1.06,4.9,5.19
Kale,5.02,24.3,121.99
Beets,1.51,10.5,15.86
Asparagus,2.49,38.7,96.36
Corn,1.07,30.3,32.42
Parsnips,2.27,21.6,49.03
Ginger,5.13,37.5,192.38
Corn,1.07,28.1,30.07
Apricots,3.71,23,85.33
Lettuce,1.88,26.5,49.82
Potatoes,0.86,29.4,25.28
Garlic,3.07,7.3,22.41
Eggplant,2.32,7.2,16.7
Coconuts,1.18,30.1,35.52
Asparagus,2.49,16.8,41.83
Tomatoes,3.16,22.7,71.73
Papaya,1.34,11.1,14.87
Celery,1.19,11.6,13.8
Orange,1.09,36.3,39.57
Ginger,5.13,31,159.03
Potatoes,0.86,18.5,15.91
Parsnips,2.27,12.7,28.83
Yellow peppers,2.87,29.1,83.52
Grapefruit,0.76,20,15.2
Green peppers,1.89,27.3,51.6
Corn,1.07,14.4,15.41
Carrots,1.26,15.6,19.66
Eggplant,2.32,0.6,1.39
Coconuts,1.18,19.5,23.01
Green cabbage,0.8,38.7,30.96
Apples,1.88,9,16.92
Cherries,9.5,36,342
Brussels sprouts,1.65,33,54.45
Strawberries,4.4,7,30.8
Bok choy,1.42,21,29.82
Yellow peppers,2.87,12.2,35.01
Okra,2.26,5.3,11.98
Orange,1.09,29.9,32.59
Avocados,3.23,6.6,21.32
Spinach,4.12,2.8,11.54
Apricots,3.71,25.2,93.49
Coconuts,1.18,37.1,43.78
Grapes,2.63,14,36.82
Okra,2.26,9.3,21.02
Eggplant,2.32,31.4,72.85
Bok choy,1.42,18.4,26.13
Eggplant,2.32,14,32.48
Beets,1.51,2.9,4.38
Garlic,3.07,24.4,74.91
Kale,5.02,26.7,134.03
Lime,1.06,11.4,12.08
Avocados,3.23,33.8,109.17
Lime,1.06,31.7,33.6
Papaya,1.34,31.3,41.94
Lettuce,1.88,25.3,47.56
Red onion,0.78,24.9,19.42
Fava beans,2.69,6.7,18.02
Okra,2.26,5.5,12.43
Beets,1.51,24.2,36.54
Coconuts,1.18,29.3,34.57
Grapes,2.63,30.7,80.74
Ginger,5.13,35.8,183.65
Asparagus,2.49,7.6,18.92
Apples,1.88,10.9,20.49
Garlic,3.07,22.9,70.3
Corn,1.07,30.8,32.96
Potatoes,0.86,37.4,32.16
Apricots,3.71,36.4,135.04
Spinach,4.12,1.7,7
Grapefruit,0.76,35.6,27.06
Cucumber,1.07,31.5,33.71
Kale,5.02,36.9,185.24
Lemon,1.27,8.7,11.05
Green beans,2.52,21.1,53.17
Celery,1.19,34.3,40.82
Potatoes,0.86,27.3,23.48
Asparagus,2.49,15,37.35
Eggplant,2.32,24.7,57.3
Cucumber,1.07,31.3,33.49
Garlic,3.07,35.8,109.91
Carrots,1.26,11.9,14.99
Red onion,0.78,34.4,26.83
Lettuce,1.88,31.8,59.78
Apples,1.88,37.4,70.31
Yellow peppers,2.87,4.3,12.34
Bok choy,1.42,37.1,52.68
Apples,1.88,16.7,31.4
Orange,1.09,33.2,36.19
Bok choy,1.42,29.5,41.89
Lime,1.06,5.8,6.15
Celery,1.19,5.7,6.78
Brussels sprouts,1.65,6.8,11.22
Celery,1.19,34.9,41.53
Beets,1.51,39.1,59.04
Avocados,3.23,24.2,78.17
Yellow peppers,2.87,15.8,45.35
Cherries,9.5,17.4,165.3
Carrots,1.26,25.7,32.38
Daikon,1.4,30.9,43.26
Parsnips,2.27,35.6,80.81
Cherries,9.5,29,275.5
Celery,1.19,5.6,6.66
Kale,5.02,21.9,109.94
Okra,2.26,22.5,50.85
Lettuce,1.88,1,1.88
Carrots,1.26,16.6,20.92
Fava beans,2.69,2.3,6.19
Daikon,1.4,24.5,34.3
Fava beans,2.69,30.5,82.05
Yellow peppers,2.87,6.4,18.37
Carrots,1.26,10.8,13.61
Corn,1.07,38.7,41.41
Yellow peppers,2.87,7.3,20.95
Kale,5.02,2.3,11.55
Grapefruit,0.76,3,2.28
Apricots,3.71,15.1,56.02
Fava beans,2.69,18.9,50.84
Green peppers,1.89,33.5,63.32
Cherries,9.5,34.1,323.95
Orange,1.09,9.7,10.57
Spinach,4.12,21.3,87.76
Lime,1.06,18.2,19.29
Bok choy,1.42,39,55.38
Carrots,1.26,38.9,49.01
Red onion,0.78,22.5,17.55
Bananas,0.86,29.7,25.54
Beets,1.51,14.1,21.29
Grapes,2.63,28.5,74.96
Garlic,3.07,34.6,106.22
Lime,1.06,19.4,20.56
Spinach,4.12,19.8,81.58
Fava beans,2.69,9.9,26.63
Grapes,2.63,25.8,67.85
Beets,1.51,14.8,22.35
Cherries,9.5,34.7,329.65
Coconuts,1.18,10.8,12.74
Eggplant,2.32,7.1,16.47
Spinach,4.12,11,45.32
Grapes,2.63,4.8,12.62
Ginger,5.13,14.9,76.44
Apples,1.88,7.7,14.48
Tomatoes,3.16,35.4,111.86
Watermelon,0.66,5,3.3
Okra,2.26,17.9,40.45
Ginger,5.13,13,66.69
Papaya,1.34,10.1,13.53
Orange,1.09,4.6,5.01
Fava beans,2.69,34.5,92.81
Lime,1.06,25.2,26.71
Okra,2.26,29.3,66.22
Garlic,3.07,2.7,8.29
Brussels sprouts,1.65,29.2,48.18
Ginger,5.13,9.3,47.71
Avocados,3.23,2.5,8.08
Green beans,2.52,16.9,42.59
Strawberries,4.4,5.6,24.64
Yellow peppers,2.87,39.1,112.22
Grapes,2.63,5.4,14.2
Eggplant,2.32,16.6,38.51
Green beans,2.52,24.5,61.74
Grapefruit,0.76,23.5,17.86
Cherries,9.5,33.5,318.25
Beets,1.51,9.5,14.35
Beets,1.51,22.8,34.43
Butternut squash,1.28,7.5,9.6
Ginger,5.13,31.8,163.13
Carrots,1.26,24.2,30.49
Grapes,2.63,11.7,30.77
Carrots,1.26,34.4,43.34
Fava beans,2.69,33.8,90.92
Yellow peppers,2.87,15.2,43.62
Potatoes,0.86,7.4,6.36
Yellow peppers,2.87,19.8,56.83
Apricots,3.71,28.9,107.22
Cherries,9.5,4.5,42.75
Asparagus,2.49,21.5,53.54
Tomatoes,3.16,7,22.12
Fava beans,2.69,22.7,61.06
Coconuts,1.18,1.1,1.3
Yellow peppers,2.87,25.4,72.9
Grapes,2.63,1.8,4.73
Green peppers,1.89,23.6,44.6
Bananas,0.86,14.2,12.21
Bok choy,1.42,14.2,20.16
Green beans,2.52,31.5,79.38
Strawberries,4.4,23.3,102.52
Avocados,3.23,26.7,86.24
Eggplant,2.32,9.8,22.74
Daikon,1.4,10.1,14.14
Apples,1.88,19.4,36.47
Papaya,1.34,7.2,9.65
Cucumber,1.07,38.1,40.77
Butternut squash,1.28,9,11.52
Daikon,1.4,20.6,28.84
Papaya,1.34,26.1,34.97
Yellow peppers,2.87,34.9,100.16
Carrots,1.26,32.8,41.33
Parsnips,2.27,33.9,76.95
Yellow peppers,2.87,27.7,79.5
Garlic,3.07,0.5,1.54
Daikon,1.4,4.1,5.74
Cherries,9.5,26.3,249.85
Butternut squash,1.28,26.3,33.66
Green beans,2.52,17.5,44.1
Carrots,1.26,17.4,21.92
Papaya,1.34,9.6,12.86
Lettuce,1.88,22.6,42.49
Asparagus,2.49,1.7,4.23
Green peppers,1.89,5.4,10.21
Brussels sprouts,1.65,26.9,44.39
Green peppers,1.89,22.2,41.96
Okra,2.26,32.5,73.45
Green cabbage,0.8,34,27.2
Ginger,5.13,4.4,22.57
Cherries,9.5,30.5,289.75
Potatoes,0.86,37.1,31.91
Lemon,1.27,12.3,15.62
Orange,1.09,26.7,29.1
Butternut squash,1.28,37.7,48.26
Cucumber,1.07,39.1,41.84
Spinach,4.12,14.8,60.98
Lettuce,1.88,8.3,15.6
Orange,1.09,1.6,1.74
Daikon,1.4,25.1,35.14
Potatoes,0.86,4.4,3.78
Garlic,3.07,6.2,19.03
Garlic,3.07,23.6,72.45
Grapefruit,0.76,17.2,13.07
Lettuce,1.88,14.5,27.26
Potatoes,0.86,15.1,12.99
Lettuce,1.88,29.4,55.27
Asparagus,2.49,2.8,6.97
Avocados,3.23,20.8,67.18
Green beans,2.52,35.2,88.7
Butternut squash,1.28,20.4,26.11
Green beans,2.52,0.6,1.51
Cherries,9.5,39.4,374.3
Fava beans,2.69,10.2,27.44
Corn,1.07,9.5,10.17
Spinach,4.12,20.1,82.81
Daikon,1.4,4.3,6.02
Okra,2.26,25.7,58.08
Green cabbage,0.8,24.5,19.6
Fava beans,2.69,37.9,101.95
Watermelon,0.66,31.3,20.66
Cucumber,1.07,2.5,2.68
Red onion,0.78,6.8,5.3
Watermelon,0.66,14,9.24
Potatoes,0.86,32.1,27.61
Spinach,4.12,28.3,116.6
Daikon,1.4,36.7,51.38
Cherries,9.5,39.6,376.2
Red onion,0.78,21.6,16.85
Red onion,0.78,12.6,9.83
Carrots,1.26,33.7,42.46
Bananas,0.86,29.6,25.46
Orange,1.09,8.2,8.94
Daikon,1.4,4.2,5.88
Green cabbage,0.8,3.8,3.04
Eggplant,2.32,34.5,80.04
Fava beans,2.69,39,104.91
Lemon,1.27,34.1,43.31
Corn,1.07,38.7,41.41
Brussels sprouts,1.65,30.7,50.66
Grapes,2.63,24.4,64.17
Lemon,1.27,1.1,1.4
Yellow peppers,2.87,11.8,33.87
Orange,1.09,34.3,37.39
Coconuts,1.18,17.3,20.41
Orange,1.09,11.3,12.32
Bok choy,1.42,35.8,50.84
Green beans,2.52,3.3,8.32
Okra,2.26,11.8,26.67
Avocados,3.23,19.5,62.99
Lettuce,1.88,1.7,3.2
Ginger,5.13,0.9,4.62
Potatoes,0.86,15.6,13.42
Okra,2.26,13.8,31.19
Daikon,1.4,35.5,49.7
Apricots,3.71,6.9,25.6
Okra,2.26,31.2,70.51
Potatoes,0.86,28.5,24.51
Lemon,1.27,18.2,23.11
Apricots,3.71,17.1,63.44
Lemon,1.27,6.9,8.76
Cherries,9.5,9.3,88.35
Bananas,0.86,6.1,5.25
Butternut squash,1.28,36.9,47.23
Cucumber,1.07,31.1,33.28
Lettuce,1.88,23.5,44.18
Coconuts,1.18,11.3,13.33
Asparagus,2.49,33.7,83.91
Asparagus,2.49,2.3,5.73
Potatoes,0.86,39.3,33.8
Eggplant,2.32,39.5,91.64
Red onion,0.78,18.7,14.59
Bok choy,1.42,27.8,39.48
Yellow peppers,2.87,39.2,112.5
Grapefruit,0.76,17.6,13.38
Watermelon,0.66,8.5,5.61
Eggplant,2.32,12.1,28.07
Apricots,3.71,11.6,43.04
Asparagus,2.49,20.7,51.54
Carrots,1.26,6.4,8.06
Bananas,0.86,31.8,27.35
Yellow peppers,2.87,17.3,49.65
Asparagus,2.49,30.1,74.95
Garlic,3.07,11.4,35
Papaya,1.34,12.1,16.21
Cherries,9.5,18,171
Orange,1.09,29.1,31.72
Watermelon,0.66,7.7,5.08
Tomatoes,3.16,39.1,123.56
Watermelon,0.66,35.6,23.5
Grapefruit,0.76,13.6,10.34
Asparagus,2.49,14.8,36.85
Avocados,3.23,13.9,44.9
Okra,2.26,20.4,46.1
Spinach,4.12,15.2,62.62
Fava beans,2.69,14,37.66
Butternut squash,1.28,24.1,30.85
Kale,5.02,0.8,4.02
Papaya,1.34,18.1,24.25
Avocados,3.23,22.8,73.64
Garlic,3.07,3,9.21
Lettuce,1.88,7.6,14.29
Yellow peppers,2.87,26.8,76.92
Orange,1.09,10.5,11.45
Coconuts,1.18,35.1,41.42
Celery,1.19,4.9,5.83
Grapefruit,0.76,36.2,27.51
Asparagus,2.49,30.3,75.45
Grapefruit,0.76,2.2,1.67
Kale,5.02,23.8,119.48
Orange,1.09,6.8,7.41
Okra,2.26,22.4,50.62
Strawberries,4.4,24.8,109.12
Cucumber,1.07,38.2,40.87
Lime,1.06,7.3,7.74
Corn,1.07,8,8.56
Lime,1.06,2.9,3.07
Beets,1.51,25.3,38.2
Celery,1.19,39.6,47.12
Bok choy,1.42,21.5,30.53
Grapefruit,0.76,29.4,22.34
Bananas,0.86,20.7,17.8
Eggplant,2.32,16,37.12
Avocados,3.23,33,106.59
Brussels sprouts,1.65,32,52.8
Daikon,1.4,6.5,9.1
Tomatoes,3.16,7.1,22.44
Papaya,1.34,33.2,44.49
Lime,1.06,0.5,0.53
Bananas,0.86,6.6,5.68
Coconuts,1.18,21.1,24.9
Potatoes,0.86,23.5,20.21
Spinach,4.12,16.4,67.57
Kale,5.02,39.4,197.79
Celery,1.19,11.5,13.69
Corn,1.07,32,34.24
Fava beans,2.69,8.4,22.6
Beets,1.51,32,48.32
Yellow peppers,2.87,36.4,104.47
Butternut squash,1.28,14.4,18.43
Apples,1.88,19.4,36.47
Lemon,1.27,12.8,16.26
Apples,1.88,17.7,33.28
Garlic,3.07,7,21.49
Garlic,3.07,21,64.47
Fava beans,2.69,5.4,14.53
Kale,5.02,27.6,138.55
Garlic,3.07,19.4,59.56
Grapes,2.63,3.6,9.47
Strawberries,4.4,35,154
Corn,1.07,24.3,26
Bananas,0.86,13.5,11.61
Bananas,0.86,0.5,0.43
Lime,1.06,35.8,37.95
Avocados,3.23,8.6,27.78
Lettuce,1.88,15.5,29.14
Apples,1.88,12.1,22.75
Avocados,3.23,16.1,52
Avocados,3.23,12.1,39.08
Grapes,2.63,16.9,44.45
Coconuts,1.18,28.8,33.98
Green beans,2.52,18.7,47.12
Papaya,1.34,10.8,14.47
Apricots,3.71,0.7,2.6
Fava beans,2.69,31.8,85.54
Parsnips,2.27,6.7,15.21
Coconuts,1.18,23.4,27.61
Watermelon,0.66,10.8,7.13
Asparagus,2.49,39.5,98.36
Tomatoes,3.16,18.9,59.72
Avocados,3.23,11.7,37.79
Tomatoes,3.16,18.2,57.51
Brussels sprouts,1.65,31.8,52.47
Bok choy,1.42,38.5,54.67
Tomatoes,3.16,17.3,54.67
Strawberries,4.4,1.8,7.92
Garlic,3.07,24.5,75.22
Butternut squash,1.28,15.3,19.58
Avocados,3.23,29,93.67
Apples,1.88,29,54.52
Garlic,3.07,18,55.26
Butternut squash,1.28,14.5,18.56
Orange,1.09,3.9,4.25
Spinach,4.12,33.1,136.37
Okra,2.26,27.7,62.6
Cherries,9.5,37.9,360.05
Papaya,1.34,7.4,9.92
Lemon,1.27,15,19.05
Lettuce,1.88,23.5,44.18
Red onion,0.78,38.8,30.26
Parsnips,2.27,6.4,14.53
Kale,5.02,36.8,184.74
Papaya,1.34,0.5,0.67
Ginger,5.13,10.9,55.92
Ginger,5.13,28.9,148.26
Green peppers,1.89,29.5,55.76
Red onion,0.78,39.1,30.5
Parsnips,2.27,25.2,57.2
Lettuce,1.88,0.7,1.32
Celery,1.19,35.8,42.6
Apricots,3.71,33,122.43
Potatoes,0.86,38,32.68
Green beans,2.52,28.4,71.57
Carrots,1.26,13.6,17.14
Grapes,2.63,8.7,22.88
Brussels sprouts,1.65,7.5,12.38
Strawberries,4.4,31.8,139.92
Ginger,5.13,20.8,106.7
Papaya,1.34,31.5,42.21
Apricots,3.71,22.2,82.36
Brussels sprouts,1.65,33.6,55.44
Lettuce,1.88,6,11.28
Green cabbage,0.8,7,5.6
